POA_CODE,State,religion,count
2008,NSW,Hinduism,190
2008,NSW,Islam,221
2008,NSW,Judaism,45
2008,NSW,Other Religions,51
2008,NSW,Non/Secular Religious Affiliation,6311
2009,NSW,Buddhism,840
2009,NSW,Christianity,4491
2009,NSW,Hinduism,360
2009,NSW,Islam,181
2009,NSW,Judaism,52
2009,NSW,Other Religions,66
2009,NSW,Non/Secular Religious Affiliation,5152
2010,NSW,Buddhism,1469
2010,NSW,Christianity,7892
2010,NSW,Hinduism,312
2010,NSW,Islam,299
2010,NSW,Judaism,328
2010,NSW,Other Religions,118
2010,NSW,Non/Secular Religious Affiliation,12335
2011,NSW,Buddhism,516
2011,NSW,Christianity,6447
2011,NSW,Hinduism,175
2011,NSW,Islam,174
2011,NSW,Judaism,316
2011,NSW,Other Religions,77
2011,NSW,Non/Secular Religious Affiliation,8393
2015,NSW,Buddhism,326
2015,NSW,Christianity,3306
2015,NSW,Hinduism,76
2015,NSW,Islam,72
2015,NSW,Judaism,101
2015,NSW,Other Religions,59
2015,NSW,Non/Secular Religious Affiliation,4825
2016,NSW,Buddhism,472
2016,NSW,Christianity,4019
2016,NSW,Hinduism,158
2016,NSW,Islam,223
2016,NSW,Judaism,178
2016,NSW,Other Religions,69
2016,NSW,Non/Secular Religious Affiliation,6156
2017,NSW,Buddhism,1188
2017,NSW,Christianity,7607
2017,NSW,Hinduism,209
2017,NSW,Islam,438
2017,NSW,Judaism,345
2017,NSW,Other Religions,93
2017,NSW,Non/Secular Religious Affiliation,11288
2018,NSW,Buddhism,615
2018,NSW,Christianity,8351
2018,NSW,Hinduism,313
2018,NSW,Islam,1608
2018,NSW,Judaism,260
2018,NSW,Other Religions,51
2018,NSW,Non/Secular Religious Affiliation,4174
2019,NSW,Buddhism,217
2019,NSW,Christianity,6636
2019,NSW,Hinduism,105
2019,NSW,Islam,162
2019,NSW,Judaism,222
2019,NSW,Other Religions,41
2019,NSW,Non/Secular Religious Affiliation,2505
2020,NSW,Buddhism,942
2020,NSW,Christianity,7089
2020,NSW,Hinduism,424
2020,NSW,Islam,677
2020,NSW,Judaism,104
2020,NSW,Other Religions,51
2020,NSW,Non/Secular Religious Affiliation,4118
2021,NSW,Buddhism,211
2021,NSW,Christianity,6328
2021,NSW,Hinduism,78
2021,NSW,Islam,53
2021,NSW,Judaism,390
2021,NSW,Other Religions,39
2021,NSW,Non/Secular Religious Affiliation,6136
2022,NSW,Buddhism,251
2022,NSW,Christianity,4698
2022,NSW,Hinduism,62
2022,NSW,Islam,67
2022,NSW,Judaism,1308
2022,NSW,Other Religions,34
2022,NSW,Non/Secular Religious Affiliation,4136
2023,NSW,Buddhism,114
2023,NSW,Christianity,3818
2023,NSW,Hinduism,50
2023,NSW,Islam,26
2023,NSW,Judaism,2300
2023,NSW,Other Religions,32
2023,NSW,Non/Secular Religious Affiliation,3076
2024,NSW,Buddhism,118
2024,NSW,Christianity,4854
2024,NSW,Hinduism,38
2024,NSW,Islam,39
2024,NSW,Judaism,432
2024,NSW,Other Religions,28
2024,NSW,Non/Secular Religious Affiliation,4071
2025,NSW,Buddhism,88
2025,NSW,Christianity,3139
2025,NSW,Hinduism,54
2025,NSW,Islam,17
2025,NSW,Judaism,578
2025,NSW,Other Religions,22
2025,NSW,Non/Secular Religious Affiliation,2486
2026,NSW,Buddhism,388
2026,NSW,Christianity,10416
2026,NSW,Hinduism,113
2026,NSW,Islam,95
2026,NSW,Judaism,4118
2026,NSW,Other Religions,82
2026,NSW,Non/Secular Religious Affiliation,12279
2027,NSW,Buddhism,116
2027,NSW,Christianity,3434
2027,NSW,Hinduism,38
2027,NSW,Islam,39
2027,NSW,Judaism,787
2027,NSW,Other Religions,23
2027,NSW,Non/Secular Religious Affiliation,2436
2028,NSW,Buddhism,45
2028,NSW,Christianity,2007
2028,NSW,Hinduism,17
2028,NSW,Islam,31
2028,NSW,Judaism,521
2028,NSW,Other Religions,9
2028,NSW,Non/Secular Religious Affiliation,1384
2029,NSW,Buddhism,100
2029,NSW,Christianity,3429
2029,NSW,Hinduism,49
2029,NSW,Islam,41
2029,NSW,Judaism,2728
2029,NSW,Other Religions,24
2029,NSW,Non/Secular Religious Affiliation,2434
2030,NSW,Buddhism,172
2030,NSW,Christianity,5050
2030,NSW,Hinduism,55
2030,NSW,Islam,73
2030,NSW,Judaism,4110
2030,NSW,Other Religions,49
2030,NSW,Non/Secular Religious Affiliation,3109
2031,NSW,Buddhism,641
2031,NSW,Christianity,15626
2031,NSW,Hinduism,312
2031,NSW,Islam,322
2031,NSW,Judaism,1546
2031,NSW,Other Religions,140
2031,NSW,Non/Secular Religious Affiliation,12161
2032,NSW,Buddhism,819
2032,NSW,Christianity,6602
2032,NSW,Hinduism,282
2032,NSW,Islam,601
2032,NSW,Judaism,468
2032,NSW,Other Religions,56
2032,NSW,Non/Secular Religious Affiliation,6362
2033,NSW,Buddhism,489
2033,NSW,Christianity,5024
2033,NSW,Hinduism,210
2033,NSW,Islam,335
2033,NSW,Judaism,336
2033,NSW,Other Religions,54
2033,NSW,Non/Secular Religious Affiliation,3880
2034,NSW,Buddhism,278
2034,NSW,Christianity,9693
2034,NSW,Hinduism,123
2034,NSW,Islam,136
2034,NSW,Judaism,631
2034,NSW,Other Religions,58
2034,NSW,Non/Secular Religious Affiliation,7105
2035,NSW,Buddhism,1047
2035,NSW,Christianity,18050
2035,NSW,Hinduism,246
2035,NSW,Islam,553
2035,NSW,Judaism,1651
2035,NSW,Other Religions,127
2035,NSW,Non/Secular Religious Affiliation,9610
2036,NSW,Buddhism,660
2036,NSW,Christianity,16558
2036,NSW,Hinduism,349
2036,NSW,Islam,977
2036,NSW,Judaism,701
2036,NSW,Other Religions,148
2036,NSW,Non/Secular Religious Affiliation,6374
2037,NSW,Buddhism,742
2037,NSW,Christianity,5092
2037,NSW,Hinduism,147
2037,NSW,Islam,207
2037,NSW,Judaism,86
2037,NSW,Other Religions,125
2037,NSW,Non/Secular Religious Affiliation,7499
2038,NSW,Buddhism,191
2038,NSW,Christianity,3653
2038,NSW,Hinduism,59
2038,NSW,Islam,39
2038,NSW,Judaism,70
2038,NSW,Other Religions,38
2038,NSW,Non/Secular Religious Affiliation,4335
2039,NSW,Buddhism,175
2039,NSW,Christianity,3592
2039,NSW,Hinduism,45
2039,NSW,Islam,50
2039,NSW,Judaism,42
2039,NSW,Other Religions,32
2039,NSW,Non/Secular Religious Affiliation,3754
2040,NSW,Buddhism,399
2040,NSW,Christianity,9687
2040,NSW,Hinduism,139
2040,NSW,Islam,172
2040,NSW,Judaism,88
2040,NSW,Other Religions,103
2040,NSW,Non/Secular Religious Affiliation,9292
2041,NSW,Buddhism,233
2041,NSW,Christianity,6569
2041,NSW,Hinduism,95
2041,NSW,Islam,71
2041,NSW,Judaism,117
2041,NSW,Other Religions,37
2041,NSW,Non/Secular Religious Affiliation,6658
2042,NSW,Buddhism,595
2042,NSW,Christianity,5010
2042,NSW,Hinduism,165
2042,NSW,Islam,160
2042,NSW,Judaism,138
2042,NSW,Other Religions,97
2042,NSW,Non/Secular Religious Affiliation,10409
2043,NSW,Buddhism,217
2043,NSW,Christianity,2111
2043,NSW,Hinduism,50
2043,NSW,Islam,50
2043,NSW,Judaism,55
2043,NSW,Other Religions,15
2043,NSW,Non/Secular Religious Affiliation,4510
2044,NSW,Buddhism,429
2044,NSW,Christianity,2867
2044,NSW,Hinduism,101
2044,NSW,Islam,158
2044,NSW,Judaism,38
2044,NSW,Other Religions,44
2044,NSW,Non/Secular Religious Affiliation,3418
2045,NSW,Buddhism,74
2045,NSW,Christianity,4123
2045,NSW,Hinduism,49
2045,NSW,Islam,34
2045,NSW,Judaism,35
2045,NSW,Other Religions,27
2045,NSW,Non/Secular Religious Affiliation,1669
2046,NSW,Buddhism,545
2046,NSW,Christianity,16944
2046,NSW,Hinduism,199
2046,NSW,Islam,261
2046,NSW,Judaism,83
2046,NSW,Other Religions,107
2046,NSW,Non/Secular Religious Affiliation,6334
2047,NSW,Buddhism,240
2047,NSW,Christianity,6843
2047,NSW,Hinduism,115
2047,NSW,Islam,88
2047,NSW,Judaism,41
2047,NSW,Other Religions,53
2047,NSW,Non/Secular Religious Affiliation,3263
2048,NSW,Buddhism,180
2048,NSW,Christianity,3016
2048,NSW,Hinduism,42
2048,NSW,Islam,56
2048,NSW,Judaism,12
2048,NSW,Other Religions,23
2048,NSW,Non/Secular Religious Affiliation,3639
2049,NSW,Buddhism,262
2049,NSW,Christianity,4363
2049,NSW,Hinduism,94
2049,NSW,Islam,110
2049,NSW,Judaism,53
2049,NSW,Other Religions,47
2049,NSW,Non/Secular Religious Affiliation,5017
2050,NSW,Buddhism,307
2050,NSW,Christianity,2369
2050,NSW,Hinduism,74
2050,NSW,Islam,132
2050,NSW,Judaism,38
2050,NSW,Other Religions,60
2050,NSW,Non/Secular Religious Affiliation,4844
2052,NSW,Buddhism,230
2052,NSW,Christianity,794
2052,NSW,Hinduism,116
2052,NSW,Islam,162
2052,NSW,Judaism,11
2052,NSW,Other Religions,17
2052,NSW,Non/Secular Religious Affiliation,1713
2060,NSW,Buddhism,389
2060,NSW,Christianity,5810
2060,NSW,Hinduism,438
2060,NSW,Islam,111
2060,NSW,Judaism,101
2060,NSW,Other Religions,73
2060,NSW,Non/Secular Religious Affiliation,5348
2061,NSW,Buddhism,147
2061,NSW,Christianity,2511
2061,NSW,Hinduism,128
2061,NSW,Islam,38
2061,NSW,Judaism,57
2061,NSW,Other Religions,41
2061,NSW,Non/Secular Religious Affiliation,2190
2062,NSW,Buddhism,136
2062,NSW,Christianity,3322
2062,NSW,Hinduism,131
2062,NSW,Islam,35
2062,NSW,Judaism,104
2062,NSW,Other Religions,24
2062,NSW,Non/Secular Religious Affiliation,2613
2063,NSW,Buddhism,128
2063,NSW,Christianity,3736
2063,NSW,Hinduism,52
2063,NSW,Islam,4
2063,NSW,Judaism,92
2063,NSW,Other Religions,22
2063,NSW,Non/Secular Religious Affiliation,1890
2064,NSW,Buddhism,446
2064,NSW,Christianity,3644
2064,NSW,Hinduism,664
2064,NSW,Islam,190
2064,NSW,Judaism,73
2064,NSW,Other Religions,63
2064,NSW,Non/Secular Religious Affiliation,3547
2065,NSW,Buddhism,991
2065,NSW,Christianity,12525
2065,NSW,Hinduism,935
2065,NSW,Islam,309
2065,NSW,Judaism,246
2065,NSW,Other Religions,185
2065,NSW,Non/Secular Religious Affiliation,11662
2066,NSW,Buddhism,843
2066,NSW,Christianity,16237
2066,NSW,Hinduism,941
2066,NSW,Islam,428
2066,NSW,Judaism,367
2066,NSW,Other Religions,242
2066,NSW,Non/Secular Religious Affiliation,10067
2067,NSW,Buddhism,1761
2067,NSW,Christianity,9402
2067,NSW,Hinduism,854
2067,NSW,Islam,363
2067,NSW,Judaism,186
2067,NSW,Other Religions,168
2067,NSW,Non/Secular Religious Affiliation,11254
2068,NSW,Buddhism,432
2068,NSW,Christianity,9090
2068,NSW,Hinduism,154
2068,NSW,Islam,126
2068,NSW,Judaism,202
2068,NSW,Other Religions,76
2068,NSW,Non/Secular Religious Affiliation,5459
2069,NSW,Buddhism,358
2069,NSW,Christianity,7521
2069,NSW,Hinduism,182
2069,NSW,Islam,89
2069,NSW,Judaism,199
2069,NSW,Other Religions,74
2069,NSW,Non/Secular Religious Affiliation,4631
2070,NSW,Buddhism,483
2070,NSW,Christianity,6914
2070,NSW,Hinduism,220
2070,NSW,Islam,85
2070,NSW,Judaism,251
2070,NSW,Other Religions,92
2070,NSW,Non/Secular Religious Affiliation,4506
2071,NSW,Buddhism,534
2071,NSW,Christianity,6199
2071,NSW,Hinduism,271
2071,NSW,Islam,101
2071,NSW,Judaism,294
2071,NSW,Other Religions,116
2071,NSW,Non/Secular Religious Affiliation,5005
2072,NSW,Buddhism,290
2072,NSW,Christianity,3475
2072,NSW,Hinduism,141
2072,NSW,Islam,62
2072,NSW,Judaism,124
2072,NSW,Other Religions,57
2072,NSW,Non/Secular Religious Affiliation,2820
2073,NSW,Buddhism,399
2073,NSW,Christianity,8925
2073,NSW,Hinduism,328
2073,NSW,Islam,147
2073,NSW,Judaism,226
2073,NSW,Other Religions,166
2073,NSW,Non/Secular Religious Affiliation,5046
2074,NSW,Buddhism,383
2074,NSW,Christianity,12496
2074,NSW,Hinduism,404
2074,NSW,Islam,132
2074,NSW,Judaism,181
2074,NSW,Other Religions,172
2074,NSW,Non/Secular Religious Affiliation,6611
2075,NSW,Buddhism,457
2075,NSW,Christianity,9970
2075,NSW,Hinduism,358
2075,NSW,Islam,164
2075,NSW,Judaism,1899
2075,NSW,Other Religions,213
2075,NSW,Non/Secular Religious Affiliation,5975
2076,NSW,Buddhism,585
2076,NSW,Christianity,14110
2076,NSW,Hinduism,600
2076,NSW,Islam,222
2076,NSW,Judaism,141
2076,NSW,Other Religions,187
2076,NSW,Non/Secular Religious Affiliation,6870
2077,NSW,Buddhism,1377
2077,NSW,Christianity,16806
2077,NSW,Hinduism,2735
2077,NSW,Islam,817
2077,NSW,Judaism,125
2077,NSW,Other Religions,421
2077,NSW,Non/Secular Religious Affiliation,12443
2079,NSW,Buddhism,107
2079,NSW,Christianity,4054
2079,NSW,Hinduism,112
2079,NSW,Islam,126
2079,NSW,Judaism,14
2079,NSW,Other Religions,47
2079,NSW,Non/Secular Religious Affiliation,2218
2080,NSW,Buddhism,28
2080,NSW,Christianity,954
2080,NSW,Hinduism,36
2080,NSW,Islam,17
2080,NSW,Judaism,0
2080,NSW,Other Religions,11
2080,NSW,Non/Secular Religious Affiliation,527
2081,NSW,Buddhism,77
2081,NSW,Christianity,3082
2081,NSW,Hinduism,54
2081,NSW,Islam,74
2081,NSW,Judaism,27
2081,NSW,Other Religions,23
2081,NSW,Non/Secular Religious Affiliation,1691
2082,NSW,Buddhism,65
2082,NSW,Christianity,3000
2082,NSW,Hinduism,6
2082,NSW,Islam,10
2082,NSW,Judaism,11
2082,NSW,Other Religions,17
2082,NSW,Non/Secular Religious Affiliation,1901
2083,NSW,Buddhism,14
2083,NSW,Christianity,683
2083,NSW,Hinduism,0
2083,NSW,Islam,7
2083,NSW,Judaism,0
2083,NSW,Other Religions,6
2083,NSW,Non/Secular Religious Affiliation,649
2084,NSW,Buddhism,44
2084,NSW,Christianity,2165
2084,NSW,Hinduism,9
2084,NSW,Islam,19
2084,NSW,Judaism,28
2084,NSW,Other Religions,6
2084,NSW,Non/Secular Religious Affiliation,1067
2085,NSW,Buddhism,95
2085,NSW,Christianity,7248
2085,NSW,Hinduism,71
2085,NSW,Islam,21
2085,NSW,Judaism,45
2085,NSW,Other Religions,40
2085,NSW,Non/Secular Religious Affiliation,3275
2086,NSW,Buddhism,161
2086,NSW,Christianity,8035
2086,NSW,Hinduism,67
2086,NSW,Islam,40
2086,NSW,Judaism,60
2086,NSW,Other Religions,103
2086,NSW,Non/Secular Religious Affiliation,4122
2087,NSW,Buddhism,233
2087,NSW,Christianity,7296
2087,NSW,Hinduism,53
2087,NSW,Islam,75
2087,NSW,Judaism,95
2087,NSW,Other Religions,81
2087,NSW,Non/Secular Religious Affiliation,4130
2088,NSW,Buddhism,403
2088,NSW,Christianity,15265
2088,NSW,Hinduism,293
2088,NSW,Islam,106
2088,NSW,Judaism,236
2088,NSW,Other Religions,85
2088,NSW,Non/Secular Religious Affiliation,9072
2089,NSW,Buddhism,318
2089,NSW,Christianity,5158
2089,NSW,Hinduism,223
2089,NSW,Islam,60
2089,NSW,Judaism,93
2089,NSW,Other Religions,48
2089,NSW,Non/Secular Religious Affiliation,4496
2090,NSW,Buddhism,358
2090,NSW,Christianity,6402
2090,NSW,Hinduism,199
2090,NSW,Islam,87
2090,NSW,Judaism,151
2090,NSW,Other Religions,59
2090,NSW,Non/Secular Religious Affiliation,4962
2092,NSW,Buddhism,90
2092,NSW,Christianity,3968
2092,NSW,Hinduism,18
2092,NSW,Islam,27
2092,NSW,Judaism,19
2092,NSW,Other Religions,24
2092,NSW,Non/Secular Religious Affiliation,2485
2093,NSW,Buddhism,267
2093,NSW,Christianity,11920
2093,NSW,Hinduism,178
2093,NSW,Islam,143
2093,NSW,Judaism,61
2093,NSW,Other Religions,104
2093,NSW,Non/Secular Religious Affiliation,8394
2094,NSW,Buddhism,51
2094,NSW,Christianity,2812
2094,NSW,Hinduism,22
2094,NSW,Islam,13
2094,NSW,Judaism,22
2094,NSW,Other Religions,17
2094,NSW,Non/Secular Religious Affiliation,2371
2095,NSW,Buddhism,208
2095,NSW,Christianity,6740
2095,NSW,Hinduism,27
2095,NSW,Islam,37
2095,NSW,Judaism,72
2095,NSW,Other Religions,38
2095,NSW,Non/Secular Religious Affiliation,6796
2096,NSW,Buddhism,116
2096,NSW,Christianity,7049
2096,NSW,Hinduism,38
2096,NSW,Islam,38
2096,NSW,Judaism,33
2096,NSW,Other Religions,52
2096,NSW,Non/Secular Religious Affiliation,5804
2097,NSW,Buddhism,144
2097,NSW,Christianity,9111
2097,NSW,Hinduism,65
2097,NSW,Islam,40
2097,NSW,Judaism,32
2097,NSW,Other Religions,49
2097,NSW,Non/Secular Religious Affiliation,4727
2099,NSW,Buddhism,1208
2099,NSW,Christianity,20905
2099,NSW,Hinduism,756
2099,NSW,Islam,393
2099,NSW,Judaism,98
2099,NSW,Other Religions,395
2099,NSW,Non/Secular Religious Affiliation,12603
2100,NSW,Buddhism,429
2100,NSW,Christianity,11777
2100,NSW,Hinduism,177
2100,NSW,Islam,106
2100,NSW,Judaism,39
2100,NSW,Other Religions,113
2100,NSW,Non/Secular Religious Affiliation,6793
2101,NSW,Buddhism,187
2101,NSW,Christianity,10900
2101,NSW,Hinduism,55
2101,NSW,Islam,45
2101,NSW,Judaism,44
2101,NSW,Other Religions,100
2101,NSW,Non/Secular Religious Affiliation,6380
2102,NSW,Buddhism,61
2102,NSW,Christianity,4559
2102,NSW,Hinduism,40
2102,NSW,Islam,15
2102,NSW,Judaism,18
2102,NSW,Other Religions,66
2102,NSW,Non/Secular Religious Affiliation,2136
2103,NSW,Buddhism,105
2103,NSW,Christianity,6132
2103,NSW,Hinduism,51
2103,NSW,Islam,34
2103,NSW,Judaism,36
2103,NSW,Other Religions,39
2103,NSW,Non/Secular Religious Affiliation,3318
2104,NSW,Buddhism,21
2104,NSW,Christianity,2120
2104,NSW,Hinduism,0
2104,NSW,Islam,8
2104,NSW,Judaism,14
2104,NSW,Other Religions,11
2104,NSW,Non/Secular Religious Affiliation,1142
2105,NSW,Buddhism,25
2105,NSW,Christianity,828
2105,NSW,Hinduism,0
2105,NSW,Islam,3
2105,NSW,Judaism,3
2105,NSW,Other Religions,12
2105,NSW,Non/Secular Religious Affiliation,737
2106,NSW,Buddhism,108
2106,NSW,Christianity,4981
2106,NSW,Hinduism,20
2106,NSW,Islam,14
2106,NSW,Judaism,37
2106,NSW,Other Religions,34
2106,NSW,Non/Secular Religious Affiliation,3476
2107,NSW,Buddhism,132
2107,NSW,Christianity,7128
2107,NSW,Hinduism,18
2107,NSW,Islam,28
2107,NSW,Judaism,44
2107,NSW,Other Religions,36
2107,NSW,Non/Secular Religious Affiliation,6248
2108,NSW,Buddhism,24
2108,NSW,Christianity,888
2108,NSW,Hinduism,0
2108,NSW,Islam,0
2108,NSW,Judaism,7
2108,NSW,Other Religions,5
2108,NSW,Non/Secular Religious Affiliation,534
2109,NSW,Buddhism,149
2109,NSW,Christianity,1039
2109,NSW,Hinduism,197
2109,NSW,Islam,161
2109,NSW,Judaism,9
2109,NSW,Other Religions,18
2109,NSW,Non/Secular Religious Affiliation,1124
2110,NSW,Buddhism,136
2110,NSW,Christianity,6424
2110,NSW,Hinduism,76
2110,NSW,Islam,72
2110,NSW,Judaism,297
2110,NSW,Other Religions,36
2110,NSW,Non/Secular Religious Affiliation,2476
2111,NSW,Buddhism,313
2111,NSW,Christianity,8627
2111,NSW,Hinduism,174
2111,NSW,Islam,141
2111,NSW,Judaism,34
2111,NSW,Other Religions,75
2111,NSW,Non/Secular Religious Affiliation,3821
2112,NSW,Buddhism,1140
2112,NSW,Christianity,17990
2112,NSW,Hinduism,970
2112,NSW,Islam,914
2112,NSW,Judaism,70
2112,NSW,Other Religions,265
2112,NSW,Non/Secular Religious Affiliation,8928
2113,NSW,Buddhism,625
2113,NSW,Christianity,9416
2113,NSW,Hinduism,863
2113,NSW,Islam,534
2113,NSW,Judaism,147
2113,NSW,Other Religions,160
2113,NSW,Non/Secular Religious Affiliation,5173
2114,NSW,Buddhism,1110
