"","suburb","state","blurb"
"15","Numurkah","VIC","Numurkah (/njuːˈmɜːrkə/ or locally [njʉːˈmɜːkə] new-MUR-kə)[2] is a town in Victoria, Australia, located on the Goulburn Valley Highway, 37 kilometres (23 mi) north of Shepparton, in the Shire of Moira. At the 2011 census, Numurkah had a population of 4,768.[1]"
"16","Koondrook","VIC","Koondrook (/ˈkuːndrʊk/ KOON-druuk)[2] is a town situated on the Murray River, Victoria, Australia. The town is located in the Shire of Gannawarra local government area, 301 kilometres (187 mi) north west of the state capital, Melbourne. At the 2011 census, Koondrook had a population of 769.[1]"
"17","Hamilton","VIC","Hamilton is a large town in south-western Victoria, Australia, at the intersection of the Glenelg Highway and the Henty Highway. The Hamilton Highway connects it to Geelong."
"18","Yarragon","VIC","Yarragon is a small town in the Baw Baw Shire in the West Gippsland region of Victoria, Australia. The town lies on the Princes Highway and the main Gippsland Railway line approximately halfway between the major towns of Warragul and Moe. Hills of the Strzelecki Ranges rise over 500 meters immediately to the south of the town providing a spectacular backdrop, while the Moe River and the lowlands lie to the north and east. Mount Worth at 515m above sea level is the highest near peak to the south in the Mount Worth State Park 16 kilometers SSW of Yarragon. Mount Baw Baw at 1563m in the Baw Baw Ranges as part of the Great Dividing Range to the north is approximately 85 kilometers NNE of Yarragon. The township sits at approximately 88 metres above sea level. At the 2006 census, Yarragon had a population of 1131."
"19","Echuca","VIC","Echuca (/əˈtʃuːkə/ ə-CHOO-kə)[2] is a town located on the banks of the Murray River and Campaspe River in Victoria, Australia. The border town of Moama is adjacent on the northern side of the Murray River in New South Wales. Echuca is the administrative centre and largest settlement in the Shire of Campaspe. As of the 2016 census, Echuca had a population of 12,906.[1] The population of the combined Echuca and Moama townships was estimated be 20,660[3] at June 2016."
"20","Marnoo","VIC","Marnoo is a town in the Wimmera region of Victoria, Australia. Its postal code is 3387. At the 2011 census, Marnoo and the surrounding area had a population of 333.[1]"
"21","Donald","VIC","Donald is a town in Victoria, Australia, located on the Richardson River, at the junction of Sunraysia Highway and Borung Highway, in the Shire of Buloke. At the 2011 Census it had a population of 1,693."
"22","Heywood","VIC","Heywood /ˈheɪwʊd/[2] is a town on the Fitzroy River in the Australian state of Victoria. It is situated at an elevation of 27 metres amidst rolling green hills in an agricultural, pastoral and timbercutting district. Heywood is 357 kilometres (222 mi) west of Melbourne at the intersection of the Princes and Henty Highways and 27 kilometres (17 mi) north of Portland. It is on the railway line to Portland, at the junction of the presently-unused branch to Mount Gambier, South Australia."
"23","Apollo Bay","VIC","Apollo Bay is a coastal town in southwestern Victoria, Australia. It is situated on the eastern side of Cape Otway, along the edge of the Barham River and on the Great Ocean Road, in the Colac Otway Shire. The town had a population of 1,598 at the 2016 census.[1]"
"24","Silverleaves","VIC","Silverleaves is a small town on Phillip Island situated east of Cowes, Victoria. At the 2006 census, Silverleaves had a population of 187.[1]"
"25","Stawell","VIC","Stawell (pronounced /stɔːl/, ""Stawl""), is an Australian town in the Wimmera region of Victoria 237 kilometres (147 mi) west-north-west of the state capital, Melbourne. Located within the Shire of Northern Grampians local government area it is a seat of local government for the shire and its main administrative centre. At the 2011 census, Stawell had a population of 6,150.[1]"
"26","Frankston","VIC","Frankston is an outer-suburb of Melbourne in Victoria, Australia, in the local government area of the City of Frankston. It is located 41 km south-east of the Melbourne city centre, above the Mornington Peninsula. Due to its geographic location, it is often referred to as ""the gateway to the Mornington Peninsula""."
"27","Halls Gap","VIC","Halls Gap is a town in Victoria, Australia. It is located on Grampians Road, adjacent to the Grampians National Park, in the Shire of Northern Grampians local government area. The town is set in the Fyans Valley at the foot of the Wonderland and Mount William ranges.[2] At the 2011 census Halls Gap had a population of 613.[1] The approximate driving time from Melbourne is 3 hours."
"28","Caulfield North","VIC","Caulfield North is a suburb in Melbourne, Victoria, Australia, 11 km south-east of Melbourne's central business district in the local government area is the City of Glen Eira. At the 2011 Census, Caulfield North had a population of 14,554."
"29","Harrow","VIC","Harrow is a town in the Wimmera region of western Victoria, Australia. The town is located in the Shire of West Wimmera local government area, 391 kilometres north west of the state capital Melbourne, overlooking the Glenelg River valley. At the 2011 census, Harrow and the surrounding area had a population of 315.[1]"
"30","Rushworth","VIC","Rushworth is a township in Victoria, Australia. It is located 157 kilometres (98 mi) north of Melbourne and, at the 2011 census, had a population of 1,381.[1]"
"31","Tungamah","VIC","Tungamah /ˈtʌŋɡəmɑː/ is a town in the Goulburn Valley region of northern Victoria, Australia. The town is located in the Shire of Moira local government area, 259 kilometres (161 mi) from the state capital, Melbourne. Tungamah is situated on the banks of Boosey Creek and at the 2006 census, Tungamah had a population of 355.[2] The 2011 Australian census indicated the population had dropped to 287.[1]"
"32","Penshurst","VIC","Penshurst is a town in Victoria, Australia. It is in the Shire of Southern Grampians local government area and is located at the foot of Mount Rouse, an extinct volcano. At the 2006 census, Penshurst had a population of 461.[1] Basic facilities include a hospital with an aged care residency and doctor's surgery, a pub, a hall and two schools – one a state school, the other a Catholic school – the state school has approximately six children, the Catholic school about 30."
"33","Port Fairy","VIC","Port Fairy /pɔːt ˈfɛəri/[2] is a coastal town in south-western Victoria, Australia. It lies on the Princes Highway in the Shire of Moyne, 28 kilometres (17 mi) west of Warrnambool and 290 kilometres (180 mi) west of Melbourne, at the point where the Moyne River enters the Southern Ocean."
"34","Carlton","VIC","Carlton is an inner-northern suburb of Melbourne, Australia, immediately adjoining Melbourne's Central Business District. Its local government area is the City of Melbourne."
"35","Cann River","VIC","Cann River is a town in the East Gippsland region of Victoria in Australia. The town is located on the Cann River at the junction of the Princess Highway and the Monaro Highway, in the Shire of East Gippsland. At the 2011 census, Cann River had a population of 169 people."
"36","Woodside Beach","VIC","Woodside Beach is a rural locality with a popular surf beach in Victoria, Australia.[2][3] It is approximately 10 km from the town of Woodside, and can be reached by the Woodside Beach Road. Areas of interest surrounding Woodside Beach include Balloong Natural Interest Reserve, Jack Smith Lake and McLoughlins Beach."
"37","Wonthaggi","VIC","Wonthaggi /ˈwɒnθæɡi/ is a seaside[2] town located 132 kilometres (82 mi) south east of Melbourne via the South Gippsland and Bass Highways, in the Bass Coast Shire of Gippsland, Victoria, Australia. Known originally for its coal mining it is now the largest town in South Gippsland, a regional area with extensive tourism, beef and dairy industries."
"38","Timboon","VIC","Timboon /tɪmˈbuːn, ˈtɪmbən/ is a town in the Western District of Victoria, Australia. The town is in the Shire of Corangamite local government area, approximately 213 kilometres (132 mi) south-west of the state capital, Melbourne. At the 2001 census, Timboon had a population of 787. At the 2006 census, Timboon had a population of 871.[1]"
"39","Lascelles","VIC","Lascelles is a locality in Victoria, Australia, located approximately 113 km from Swan Hill, Victoria. In the 2006 census the state suburb of Lascelles had a population of 114.[1]"
"40","Moe","VIC","Moe (/ˈmoʊ.i/ ( listen) Moh-wî)[3] is a town in Latrobe Valley in the Gippsland region of Victoria, Australia. It is approximately 130 kilometres (80 miles) east of the central business district of Melbourne, 45 kilometres (30 miles) due south of the peak of Mount Baw Baw in the Great Dividing Range and features views of the Baw Baw Ranges to the north and Strzelecki Ranges to the south."
"41","Orbost","VIC","Orbost is a town in the Shire of East Gippsland, Victoria, Australia, 375 kilometres (233 mi) east of Melbourne and 235 kilometres (146 mi) south of Canberra where the Princes Highway crosses the Snowy River. It is about 16 kilometres (10 mi) from the town of Marlo on the coast of Bass Strait. At the 2006 census, Orbost had a population of 2452. Orbost is the service centre for the primary industries of beef, dairy cattle, and sawmilling. More recently, tourism has become an important industry, being the major town close to several national parks, including the Snowy River National Park, Alpine National Park, Errinundra National Park, Croajingolong National Park and Cape Conran Coastal Park."
"42","Monbulk","VIC","Monbulk is a town in Melbourne Metropolitan Region located 42 km east of Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2006 Census, Monbulk had a population of 2715."
"43","Springvale","VIC","Springvale is a suburb in Melbourne, Victoria, Australia, 23 km south-east of Melbourne's central business district. Its local government area is the City of Greater Dandenong. At the 2016 census, Springvale had a population of 21,714.[1]"
"44","Prahran","VIC","Prahran (/pɛ'ræn/, also known colloquially as ""Pran"") is an inner suburb of Melbourne, Victoria, Australia, 5 km south-east of Melbourne's Central Business District, located within the City of Stonnington local government area. Prahran recorded a population of 12,982 at the 2016 Census."
"45","Clayton","VIC","Clayton is a suburb in Melbourne, Victoria, Australia, 19 km south-east of Melbourne's central business district.[2] Its local government area is the City of Monash. At the 2016 Census, Clayton had a population of 19,358.[1]"
"46","Tongala","VIC","Tongala /təŋˈɡɑːlə/ is a town in the Goulburn Valley region of northern Victoria, Australia. The town is in the Shire of Campaspe local government area, between Kyabram and Echuca, 225 kilometres (140 mi) north of the state capital, Melbourne. At the 2011 census, Tongala had a population of 1,869.[1]"
"47","Omeo","VIC","Omeo (/ˈoʊmiːoʊ/ OH-mee-oh)[2] is a town in Victoria, Australia on the Great Alpine Road, east of Mount Hotham, in the Shire of East Gippsland. At the 2011 census, Omeo had a population of 487. The name is derived from the Aboriginal word for 'mountains' or 'hills'. Omeo is affectionately known as the City of the Alps with many historic buildings remaining in the town. The town is still the commercial hub for the Omeo Region and is a service centre for outlying communities such as Benambra, Cobungra, Cassilis, Swifts Creek, and Ensay."
"48","Archies Creek","VIC","Archies Creek is a small town in Victoria, Australia. It is located between the Dalyston - Glen Forbes Road and Loch-Wonthaggi Road, on the Archies Creek Road, in the Bass Coast Shire, north-west of Wonthaggi."
"49","Nathalia","VIC","Nathalia (/nəˈθeɪliə/ nə-THAY-li-ə)[2] is a town in northern Victoria, Australia. The town is located within the Shire of Moira local government area on the banks of Broken Creek and on the Murray Valley Highway. At the 2011 census, Nathalia had a population of 1,902.[1]"
"50","Tootgarook","VIC","Tootgarook is approximately eighty kilometres (50 mi) from Melbourne, Victoria, Australia. Its local government area is the Shire of Mornington Peninsula."
"51","South Yarra","VIC","South Yarra is an inner suburb of Melbourne, Victoria, Australia, 4 km south-east of Melbourne's Central Business District, located within the Cities of Melbourne and Stonnington local government areas. South Yarra recorded a population of 25,147 at the 2016 Census."
"52","Bundoora","VIC","Bundoora is a suburb of Melbourne, Victoria, Australia, 16 km north of Melbourne's Central Business District.[2] Its local government areas are the Cities of Banyule, Darebin and Whittlesea. At the 2016 Census, Bundoora had a population of 28,653."
"53","Burwood","VIC","Burwood is a suburb of Melbourne, Victoria, Australia, 14 km east of Melbourne's Central Business District.[2] Its local government areas are the Cities of Monash and Whitehorse. At the 2016 Census, Burwood had a population of 15,019.[1]"
"54","Sandy Point","VIC","Sandy Point is a township in south Gippsland, Victoria near Wilsons Promontory. At the 2006 census, Sandy Point had a population of 227, growing to several thousand during the holiday period.[1] It is surrounded by areas of significant natural heritage."
"55","Charlton","VIC","Charlton ""The Friendly River Town"", is a town in Victoria, Australia. It is a small agricultural community straddling the Avoca River, located at the junction of the Calder Highway (A79) and Borung Highway (C239) and positioned in the last of the foothills of the Great Dividing Range. Its location, almost halfway between Melbourne and Mildura, makes Charlton a popular stop along the way for tourists."
"56","Coleraine","VIC","Coleraine is a town in Victoria, Australia on the Glenelg Highway, 350 kilometres (217 mi) west of the state capital, Melbourne and 35 kilometres (22 mi) north-west of Hamilton in the Shire of Southern Grampians local government area. It was named after the town in County Londonderry, Northern Ireland. At the 2006 census, the urban area of Coleraine had a population of 991.[2]"
"57","Fitzroy","VIC","Fitzroy is an inner-city suburb of Melbourne, Victoria, Australia, 3 km north-east of Melbourne's Central Business District in the local government area of the City of Yarra. At the 2016 Census, Fitzroy had a population of 10,445. Planned as Melbourne's first suburb,[2] it was later also one of the city's first areas to gain municipal status. It occupies Melbourne's smallest and most densely populated suburban area, just 100 ha."
"58","Cobram","VIC","Cobram is a town in Victoria, Australia. It is on the Murray River which forms the border between Victoria and New South Wales. Cobram along with the nearby towns of Numurkah and Yarrawonga is part of Shire of Moira and is the administrative centre of the Council. Its twin town of Barooga is located on the north side of the Murray River. Surrounding Cobram are a number of orchards, dairy farms and wineries. At the 2011 census, Cobram had a population of 6,018.[1] Barooga's population is currently 1,497.[2]"
"59","Maffra","VIC","Maffra is a town in Victoria, Australia, 220 kilometres (140 mi) east of Melbourne. It is in the Shire of Wellington local government area. It relies mainly on dairy farming and other agriculture,[2] and is the site of one of Murray-Goulburn Cooperative's eight processing plants in Victoria. Maffra is a detour off the Princes Highway and is near Sale, Stratford, Newry, Tinamba, Heyfield and Rosedale.[2] At the 2011 census, Maffra had a population of 5,112.[1]"
"60","Killarney","VIC","Killarney is a small town in south-western Victoria, located 282 kilometres (175 mi) south-west of Melbourne on the Princes Highway. At the time of the 2006 census the population of the district was 793.[1]"
"61","Churchill","VIC","Churchill is a town in the Latrobe Valley, located in central Gippsland in the east of Victoria, Australia. The town had a population of 4,750 at the 2011 census, and is part of the Latrobe City local government area. The town was named in honour of former British leader Sir Winston Churchill."
"62","Nagambie","VIC","Nagambie /nəˈɡæmbi/[2] is a town in Victoria, Australia. The town is on the Goulburn Valley Highway north of Seymour and in the Shire of Strathbogie. At the 2011 census, Nagambie had a population of 1,548.[1]"
"63","Lindenow","VIC","Lindenow is a town in Victoria, Australia, located on Dargo Road, in the Shire of East Gippsland near Bairnsdale.[2]"
"64","Koroit","VIC","Koroit /kəˈrɔɪt/[2] is a small rural town in western Victoria, Australia a few kilometres north of the Princes Highway, 18 kilometres (11 mi) north-west of Warrnambool and 278 kilometres (173 mi) west of Melbourne. It is in the Shire of Moyne local government area located amidst rolling green pastures on the North rim of Tower Hill. At the 2016 census, Koroit had a population of 2,055.[1] The town borrows its name from the Koroitch Gundidj people who occupied the area prior to European settlement."
"65","Bemm River","VIC","Bemm River is a township and locality in the East Gippsland region of Victoria, Australia. At the 2011 census, Bemm River and the surrounding area had a population of 287.[1]"
"66","Nhill","VIC","Nhill is a town in the Wimmera, in western Victoria, Australia. Nhill is located on the Western Highway, halfway between Adelaide and Melbourne. At the 2011 census, Nhill had a population of 2278.[1] ""Nhill"" is believed to be a Wergaia word meaning ""early morning mist rising over water""[4] or ""white mist rising from the water"".[5]"
"67","Dandenong","VIC","Dandenong is a suburb of Melbourne, Victoria, Australia, approximately 30 km south-east from Melbourne's central business district. Situated on the Dandenong Creek, it is at the foothill of the Dandenong Ranges and is the main administrative centre for the City of Greater Dandenong local government area. At the 2016 census, central Dandenong had a population of 29,906.[1]"
"68","Leitchville","VIC","Leitchville is a town in northern Victoria, Australia. The town is in the Shire of Gannawarra local government area, 262  kilometres from the state capital, Melbourne. At the 2011 census, Leitchville had a population of 619.[1]"
"69","Mount Buller","VIC","Mount Buller is a town located in the Shire of Mansfield in the Alpine region of the Australian state of Victoria. The town is located approximately 208 kilometres (129 mi) east of Melbourne on the slopes of Mount Buller.[2]"
"70","California Gully","VIC","California Gully is a suburb of Bendigo, Victoria, Australia. The suburb is located 5 kilometres (3.1 mi) north-west of the Bendigo city centre along Eaglehawk Road. At the 2011 census, California Gully had a population of 4,263.[1]"
"71","Venus Bay","VIC","Venus Bay is a wide bay[2] and a township on that bay on the east coast of Victoria, Australia. At the 2006 census Venus Bay had a population of 509."
"72","Wycheproof","VIC","Wycheproof /ˈwɪtʃɪpruːf/ is a small regional locality in the centre of the Shire of Buloke, in north western Victoria, Australia. As of the 2011 census, it had a population of 789.[1] The name, Wycheproof, originates from an aboriginal word meaning 'grass on a hill', referring to Mount Wycheproof just off the Calder Highway, which is the smallest registered mountain in the world, standing at 148 metres (486 ft)[2] above sea level or 43 metres (141 ft) above the surrounding plains.[3] The economy of Wycheproof is driven mainly by wheat."
"73","Bridgewater On Loddon","VIC","Bridgewater On Loddon is a town in north central Victoria, Australia. The town is located on the Calder Highway, north west of Bendigo, astride the Loddon River. At the 2011 census, Bridgewater On Loddon had a population of 363.[1] The rural area which surrounds Bridgewater on Loddon is named simply ""Bridgewater"".[2] The Loddon Shire covers an area of approximately 6,700 square kilometres making it the seventh largest municipality (in area) in Victoria. The Shire’s population is approximately 8,600. The municipality is characterised by a number of small towns dispersed throughout the area. Loddon Shire Council"
"74","Elmhurst","VIC","Elmhurst is a town in the Pyrenees region of western Victoria, Australia. The town is on the Pyrenees Highway between Eversley and Amphitheatre. Elmhurst is in the Rural City of Ararat local government area, 191 kilometres (119 mi) north-west of the state capital, Melbourne. The headwaters of the Wimmera River form near Elmhurst. At the 2016 census, Elmhurst had a population of 186.[1]"
"75","Sebastopol","VIC","Sebastopol is a southern suburb on the rural-urban fringe of Ballarat, Victoria, Australia. It is the second most populated area in urban Ballarat with a population of 10,032 at the 2016 census.[1]"
"76","Alberton","VIC","Alberton is a small town in Victoria, Australia. It is located along the South Gippsland Highway, 7 kilometres south of Yarram and 216 kilometres east of Melbourne. Albert River passes through the town. At the 2006 census, Alberton had a population of 162.[1]"
"77","Carlton North","VIC","Carlton North is an inner suburb of Melbourne, Victoria, Australia, 4 km north from Melbourne's Central Business District. Its local government areas are the Melbourne and Yarra. At the 2011 Census, Carlton North had a population of 6,220."
"78","Axedale","VIC","Axedale is a small town in Victoria, Australia. It is located on the McIvor Highway, in the City of Greater Bendigo, east of Bendigo. It was surveyed and proclaimed in 1861. At the 2011 census, Axedale had a population of 874.[1]"
"79","Golden Beach","VIC","Golden Beach is a small settlement situated on the Ninety Mile Beach in Gippsland Victoria. The beaches there offer long distances for walking and fishing, but are not patrolled. It has kangaroos on the golf course, a playground near the shops and a lookout deck near the ocean beach. There are many nearby wildlife reserves which are sanctuaries for water birds and other species. Seaspray and Loch Sport are nearby settlements which are slightly more developed with eating places and a caravan park."
"80","Newborough","VIC","Newborough is a town in the Latrobe Valley in Victoria, Australia which shares a border to its west, mostly along the Narracan Creek, with the town of Moe. It can be divided into three areas, Old Newborough, East Newborough and North Newborough. The latter two areas were developed by the State Electricity Commission of Victoria in the 1950s as residential housing for workers at the nearby Yallourn coal mining, power generation and briquette making works. Newborough now has a higher than average proportion of retirees and aged residents, and it has been suggested that it owes its generally quiet character to this fact. At the 2011 census, Newborough had a population of 6,933.[1]"
"81","Truganina","VIC","Truganina is a rural-urban suburb of Melbourne, Victoria, Australia, 22 km west of Melbourne's Central Business District, located within the Cities of Melton and Wyndham local government areas. Truganina recorded a population of 20,687 at the 2016 census."
"82","Ringwood","VIC","Ringwood is a suburb of Melbourne, Victoria, Australia, 23 km (14 mi) east of Melbourne's Central Business District. Its local government area is the City of Maroondah. At the 2011 Census, Ringwood had a population of 10,009. Ringwood has many parks reserves, most notably, Ringwood Lake.[2] As of July 2012, the average house price in Ringwood was $583,500 and $390,000 for a unit.[3]"
"83","Merton","VIC","Merton is a small town on the Maroondah Highway in north-east Victoria, west of Bonnie Doon. At the 2011 census, Merton had a population of 302.[1]"
"84","Upper Ferntree Gully","VIC","Upper Ferntree Gully is a suburb of Melbourne, Victoria, Australia, 32 km east of Melbourne's Central Business District, located within the City of Knox and Shire of Yarra Ranges local government areas. Upper Ferntree Gully recorded a population of 3,416 at the 2016 Census."
"85","Princetown","VIC","Princetown is a coastal village in Victoria, Australia, located on the Great Ocean Road, east of the Twelve Apostles, in the Corangamite Shire."
"86","Heathcote","VIC","Heathcote  pronunciation (help·info) is a town in central Victoria, Australia, situated on the Northern Highway 110 kilometres north of Melbourne and 40 kilometres south-east of Bendigo via the McIvor Highway. Heathcote's local government area is the City of Greater Bendigo and it is part of the federal electorate of Bendigo and the state electorate of Euroa. At the 2016 census, Heathcote had a population of 2,793.[1]"
"87","Ballarat Central","VIC","Ballarat Central (known as the Central Business Area by the City of Ballarat and sometimes simply as ""Ballarat"") is the central locality of Greater Ballarat in Victoria, Australia. The population of Ballarat Central at the 2016 census was 5,328,[1] making it the third most populous in the urban area. It is the administrative headquarters for the City of Ballarat as well as the Ballarat Base Hospital and health services and home to the city's major religious institutions and a major retail, commercial and inner city residential area."
"88","Yarroweyah","VIC","Yarroweyah (/ˈjærəwiːə/ YARR-ə-wee-ə) is a town in northern Victoria, Australia. The town is located in the Shire of Moira local government area, 251 kilometres (156 mi) north of the state capital, Melbourne and 10 kilometres (6 mi) west of Cobram. The town is situated near the intersection of Kenny Road, Kokoda Road and the Murray Valley Highway. At the 2011 census, Yarroweyah and the surrounding area had a population of 528.[2]"
"89","Brunswick","VIC","Brunswick is an inner-city suburb of Melbourne, Victoria, Australia, 4 kilometres (2.5 mi) north of Melbourne's central business district. Its local government area is the City of Moreland. At the 2016 Census, Brunswick had a population of 24,473."
"90","Portsea","VIC","Portsea is a town on the Mornington Peninsula in Victoria, Australia. It is located approximately 60 kilometres (37 mi) south of the Melbourne CBD, on the opposite side of Port Phillip Bay. The townsite is located on the bay itself, but the locality boundaries stretch as far west as Point Nepean and incorporate a section of Bass Strait coastline. Portsea is the westernmost town on the Mornington Peninsula, and lies adjacent to the town of Sorrento. It has one of the highest average incomes in Australia."
"91","Moyston","VIC","Moyston is a town in the Western District region of Victoria, Australia, near the Grampians mountain range. The town is located in the Rural City of Ararat local government area, 224 kilometres (139 mi) north west of the state capital, Melbourne. At the 2016 census, Moyston and the surrounding area had a population of 348.[1]"
"92","Newmerella","VIC","Newmerella is a small township five kilometres west of Orbost, in Victoria, Australia. The Newmerella town and area has a population of 336.[1] The township has one service station and a school (Newmerella Primary School) and is serviced by a school bus from Newmerella to Orbost for students attending Orbost Secondary College."
"93","Doncaster","VIC","Doncaster is a suburb of Melbourne, Victoria, Australia, 17 km East of Melbourne's Central Business District. Its local government area is the City of Manningham. At the 2011 Census, Doncaster had a population of 18,359."
"94","Noorat","VIC","Noorat is a small township in southwestern Victoria, Australia. Noorat is located approximately 218 km west of Melbourne. The township is located at the base of Mount Noorat, a dormant volcano, which is considered to have Australia's largest dry crater. At the 2006 census, Noorat had a population of 252. By 2011, according to the census, the population had dropped to 167,[1] although this drop in numbers is a bit deceptive as the town boundary was changed in between the 2006 and 2011 census."
"95","Hepburn Springs","VIC","Hepburn Springs is a resort town located in the middle of the largest concentration of mineral springs in Australia. It is in Victoria, 48 km northeast of Ballarat. At the 2016 census, Hepburn had a population of 599[1] and Hepburn Springs had a population of 329.[2] Total population of Hepburn-Hepburn Springs was 928. The town is named after Captain John Hepburn who was an early squatter of central Victoria."
"96","Alberton West","VIC","Alberton West is a small town in Victoria, Australia. It is considered to be within the district of the larger town of Yarram."
"97","Abbotsford","VIC","Abbotsford is a suburb of Melbourne, Australia, 2 km east of Melbourne's Central Business District. Its local government area is the City of Yarra. At the 2011 census, Abbotsford had a population of 4,907."
"98","Bogong","VIC","Bogong is a locality in north east Victoria, Australia. The locality is in the Alpine Shire local government area, 371 kilometres (231 mi) north east of the state capital, Melbourne."
"99","Collingwood","VIC","Collingwood is an inner suburb of Melbourne, Australia, 3 km north-east of Melbourne's central business district. Its local government area is the City of Yarra. At the 2016 Australian Census, Collingwood had a population of 8,513."
"100","Mooroopna","VIC","Mooroopna /məˈruːpnə/[2] is a rural town located 181 kilometres (112 mi) north of Melbourne, Victoria, Australia. It is on the banks of the Goulburn River opposite the larger town of Shepparton. The Midland Highway crosses the river between the two towns. At the 2011 census, Mooroopna had a population of 7,813.[1]"
